artist,artist_code,title,title_code,rank,date,hour,site
김동률,925,답장,30833270,85,2018-03-18,04,melon
EXO,724619,Stay,30806540,86,2018-03-18,04,melon
세븐틴,861436,지금 널 찾아가고 있어,30878839,87,2018-03-18,04,melon
Shawn Mendes,776533,There`s Nothing Holdin` Me Back,30380953,88,2018-03-18,04,melon
양요섭,510565,네가 없는 곳,30902280,89,2018-03-18,04,melon
EXO,724619,Fall,30806541,90,2018-03-18,04,melon
세븐틴,861436,Thinkin` about you,30878837,91,2018-03-18,04,melon
EXO,724619,Good Night,30806543,92,2018-03-18,04,melon
EXO,724619,Lights Out,30806544,93,2018-03-18,04,melon
길구봉구,500421,바람이 불었으면 좋겠어,4383833,94,2018-03-18,04,melon
어반자카파,420527,"그때의 나, 그때의 우리",30709103,95,2018-03-18,04,melon
에일리,629831,첫눈처럼 너에게 가겠다,30190630,96,2018-03-18,04,melon
세븐틴,861436,Falling For U,30878840,97,2018-03-18,04,melon
NCT DREAM,1066419,GO,30929064,98,2018-03-18,04,melon
NCT U,960278,Baby Don`t Stop,30919067,99,2018-03-18,04,melon
iKON,895741,고무줄다리기 (Rubber Band),30929917,100,2018-03-18,04,melon
